Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8
Hyperthyroidism,yellowing_of_eyes,painful_walking,anxiety,belly_pain,watering_from_eyes,swollen_legs,itching,
Chicken pox,indigestion,cramps,bladder_discomfort,dehydration,scurring,slurred_speech,swollen_blood_vessels,nodal_skin_eruptions
Hepatitis D,family_history,headache,stiff_neck,redness_of_eyes,dizziness,history_of_alcohol_consumption,altered_sensorium,palpitations
Chicken pox,swollen_blood_vessels,nodal_skin_eruptions,dehydration,cramps,slurred_speech,indigestion,bladder_discomfort,scurring
Drug Reaction,chest_pain,diarrhoea,breathlessness,cough,loss_of_smell,belly_pain,,
Hepatitis A,depression,muscle_weakness,weight_gain,irritation_in_anus,,,,
Hepatitis B,patches_in_throat,lethargy,dark_urine,blister,mood_swings,,,
Cervical spondylosis,cold_hands_and_feets,polyuria,swelling_joints,congestion,pus_filled_pimples,extra_marital_contacts,,
Tuberculosis,brittle_nails,bloody_stool,weight_loss,unsteadiness,,,,
Paralysis (brain hemorrhage),swollen_legs,family_history,pain_behind_the_eyes,dizziness,coma,,,
Dimorphic hemmorhoids(piles),dizziness,fatigue,anxiety,mucoid_sputum,loss_of_smell,sunken_eyes,sweating,
Peptic ulcer disease,toxic_look_(typhos),continuous_feel_of_urine,vomiting,swollen_legs,,,,
Peptic ulcer disease,toxic_look_(typhos),vomiting,swollen_legs,continuous_feel_of_urine,,,,
Jaundice,burning_micturition,yellow_crust_ooze,cough,weakness_in_limbs,dehydration,pain_behind_the_eyes,,
Varicose veins,restlessness,burning_micturition,dizziness,blood_in_sputum,blackheads,sunken_eyes,,
Alcoholic hepatitis,pain_during_bowel_movements,weight_loss,anxiety,mood_swings,,,,
Bronchial Asthma,runny_nose,swollen_blood_vessels,internal_itching,weight_loss,muscle_pain,,,
Migraine,acidity,swelling_joints,pain_during_bowel_movements,family_history,,,,
Diabetes,lethargy,drying_and_tingling_lips,pain_during_bowel_movements,pain_in_anal_region,,,,
Hypoglycemia,receiving_unsterile_injections,blurred_and_distorted_vision,blister,diarrhoea,chest_pain,slurred_speech,,
Arthritis,weight_gain,small_dents_in_nails,bloody_stool,malaise,lethargy,mood_swings,mild_fever,mucoid_sputum
Impetigo,hip_joint_pain,history_of_alcohol_consumption,breathlessness,knee_pain,nodal_skin_eruptions,,,
